,gen,nevals,new_hof,coverage_avg,coverage_std,coverage_min,coverage_max,altitude_avg,altitude_std,altitude_min,altitude_max,costs_avg,costs_std,costs_min,costs_max
67,67,50,13,0.81093111419325,0.17993757981873762,0.5015256588072122,1.0,672.16,154.14919526225233,501.0,971.0,81.28,53.35505224437513,18.0,207.0
68,68,50,10,0.8290596393897366,0.17353290971340302,0.5015256588072122,1.0,689.38,153.2347075567412,501.0,971.0,80.4,51.632547874378616,18.0,207.0
69,69,50,11,0.8359926028663892,0.17339170901858597,0.5015256588072122,1.0,694.78,152.4954150130423,501.0,971.0,81.66,51.981769881372834,18.0,207.0
70,70,50,7,0.8434100785945446,0.17429203737809984,0.5015256588072122,1.0,703.22,152.81181760583834,501.0,971.0,83.18,53.407374022694654,18.0,207.0
71,71,50,10,0.8246694405917707,0.175717096997172,0.5015256588072122,1.0,686.56,150.4385801581496,501.0,971.0,80.7,51.27699289154933,18.0,207.0
72,72,50,10,0.8344484512251503,0.17675105122616266,0.5033749422098936,1.0,687.28,151.1378231945928,501.0,971.0,82.92,51.14326544130712,18.0,207.0
73,73,50,9,0.836081368469718,0.1732232561432101,0.5033749422098936,1.0,673.5,149.08443916116798,501.0,971.0,84.5,51.9265827876243,18.0,207.0
74,74,50,11,0.8254775774387426,0.17665276796369145,0.5033749422098936,1.0,675.0,147.1221261401561,501.0,971.0,81.72,51.592650639407935,18.0,207.0
75,75,50,11,0.8242977346278317,0.1784752008651057,0.5033749422098936,1.0,673.44,148.75969346566967,501.0,971.0,82.62,53.75793522820607,18.0,207.0
76,76,50,12,0.8123901987979658,0.18919096539963992,0.5033749422098936,1.0,676.68,150.86224709979632,501.0,971.0,81.56,54.564515942139536,18.0,207.0
77,77,50,12,0.8047508090614888,0.1854896049412823,0.5033749422098936,1.0,662.1,141.15456067729446,501.0,971.0,81.1,53.793401082288895,18.0,207.0
78,78,50,18,0.8083643088303283,0.18445336804051315,0.5033749422098936,1.0,667.54,141.77590909600968,501.0,971.0,80.36,53.89202538409556,18.0,207.0
79,79,50,9,0.8131558021266758,0.17922967483166838,0.5033749422098936,1.0,672.52,151.53484615757526,501.0,994.0,79.68,53.34020622382332,18.0,207.0
80,80,50,10,0.8143689320388351,0.17859345002440527,0.5033749422098936,1.0,673.52,150.5615143388243,501.0,994.0,79.36,53.47252004534666,18.0,207.0
81,81,50,14,0.812122052704577,0.17515523576313258,0.5033749422098936,1.0,669.0,154.33210942639255,501.0,994.0,79.94,53.29780858534429,18.0,207.0
82,82,50,9,0.7996282940360611,0.17558903887121033,0.5033749422098936,1.0,675.26,153.6399440249833,501.0,994.0,75.8,52.9078444089343,18.0,207.0
83,83,50,11,0.7997669902912622,0.17484528454178921,0.5033749422098936,1.0,682.0,151.8407060046811,501.0,994.0,75.4,53.271005246756886,18.0,207.0
84,84,50,5,0.8098825705039298,0.17846205977323104,0.5033749422098936,1.0,696.28,158.6310234474959,501.0,994.0,75.68,53.25990612083352,18.0,207.0
85,85,50,12,0.8059140083217753,0.17844194749181413,0.5033749422098936,1.0,692.56,152.21460639505003,501.0,994.0,73.08,51.87401661718514,18.0,207.0
86,86,50,11,0.8277614424410542,0.16567701267324558,0.5006934812760055,1.0,689.9,156.1485510659641,501.0,994.0,75.44,50.50828050923928,18.0,207.0
87,87,50,11,0.8194748035136386,0.1712326657516505,0.5006934812760055,1.0,672.52,158.24401916028296,501.0,994.0,78.16,52.09697112116981,18.0,207.0
88,88,50,9,0.8188719371243642,0.17406694673221515,0.5006934812760055,1.0,661.52,152.9581955960517,501.0,994.0,78.98,51.782811820139706,18.0,207.0
89,89,50,13,0.823112343966713,0.16606139384798319,0.5006934812760055,1.0,677.12,161.61604375803782,501.0,994.0,72.62,43.1063290016675,18.0,198.0
90,90,50,5,0.8153712436430883,0.16758636324491152,0.5006934812760055,1.0,670.56,161.4224470140383,501.0,994.0,72.42,44.610801382624814,18.0,198.0
91,91,50,10,0.8122052704576977,0.16722021311803958,0.5006934812760055,1.0,678.3,153.7641375613963,501.0,994.0,69.46,42.28863204219309,18.0,198.0
92,92,50,10,0.8241756819232547,0.17025843030965382,0.5006934812760055,1.0,677.64,150.67737189107064,501.0,995.0,74.22,46.31081515153885,18.0,198.0
93,93,50,12,0.8083920480813684,0.17637860990356122,0.5006934812760055,1.0,664.84,145.10029083361619,501.0,974.0,74.52,48.13200182830546,18.0,198.0
94,94,50,8,0.8144392048081367,0.17976604532967164,0.5006934812760055,1.0,666.3,141.9291724769788,501.0,974.0,76.2,48.21908335918467,18.0,198.0
95,95,50,5,0.8063300970873787,0.17824081406806236,0.5006934812760055,1.0,669.12,143.23472204741418,501.0,974.0,75.74,48.56987131957424,18.0,198.0
96,96,50,15,0.8019898289412852,0.17753033232948515,0.5006934812760055,1.0,667.26,146.1348432099614,501.0,974.0,75.6,49.792368893235036,18.0,198.0
97,97,50,13,0.7955432269995377,0.18344339264357318,0.5006934812760055,1.0,672.28,148.41968063568928,501.0,974.0,74.84,50.17184868031075,18.0,198.0
98,98,50,9,0.8139195561719833,0.17894888972548653,0.5006934812760055,1.0,689.32,151.46305688186806,501.0,974.0,76.04,49.60966034957305,18.0,198.0
99,99,50,7,0.8044956079519185,0.1845229805003024,0.5006934812760055,1.0,693.86,149.57753975781256,501.0,979.0,74.3,50.29880714291344,18.0,198.0
