,generation,nevals,new_hof,coverage_max,coverage_min,coverage_mean,coverage_std,altitude_max,altitude_min,altitude_mean,altitude_std,costs_max,costs_min,costs_mean,costs_std,coverage_gen,coverage_nevals,coverage_new_hof,altitude_gen,altitude_nevals,altitude_new_hof,costs_gen,costs_nevals,costs_new_hof
88,88,50,5,1.0,0.6000924641701341,0.8399981507165974,0.13977970667727704,994.0,501.0,685.38,158.63075237796738,180.0,24.0,74.74,42.11736458991707,88,50,5,88,50,5,88,50,5
89,89,50,5,1.0,0.6000924641701341,0.8353490522422561,0.13680462321588113,994.0,501.0,678.14,161.13038323047581,180.0,24.0,74.98,41.272988745667554,89,50,5,89,50,5,89,50,5
90,90,50,11,1.0,0.6000924641701341,0.8346740638002774,0.13618883487721972,994.0,501.0,682.88,162.46188968493504,180.0,24.0,74.0,41.44104245793052,90,50,11,90,50,11,90,50,11
91,91,50,12,1.0,0.6000924641701341,0.8420379103097549,0.136296982735725,994.0,501.0,702.78,163.64685025994237,180.0,24.0,72.36,41.85105016603526,91,50,12,91,50,12,91,50,12
92,92,50,8,1.0,0.6000924641701341,0.8473952843273233,0.13506491222343514,994.0,501.0,687.14,162.5685098658409,180.0,24.0,75.58,42.501807020407966,92,50,8,92,50,8,92,50,8
93,93,50,7,1.0,0.6000924641701341,0.8492408691631992,0.1325207637369667,994.0,501.0,685.38,161.1442695226858,180.0,24.0,75.06,42.428485714199134,93,50,7,93,50,7,93,50,7
94,94,50,8,1.0,0.6000924641701341,0.8500305131761442,0.1350658297553012,994.0,501.0,677.42,156.3940011637275,180.0,24.0,76.02,41.94305186797927,94,50,8,94,50,8,94,50,8
95,95,50,8,1.0,0.6000924641701341,0.8518742487286175,0.13412642486782697,994.0,501.0,683.26,154.87088945311834,180.0,24.0,76.08,42.385771197419544,95,50,8,95,50,8,95,50,8
96,96,50,8,1.0,0.6000924641701341,0.8474341192787794,0.13547872926494656,994.0,501.0,680.42,160.26042430993374,180.0,24.0,77.28,42.295645165903316,96,50,8,96,50,8,96,50,8
97,97,50,7,1.0,0.6000924641701341,0.8483680073971336,0.13385341967926498,994.0,501.0,677.52,163.4407831601403,180.0,24.0,78.22,41.74603693765433,97,50,7,97,50,7,97,50,7
98,98,50,8,1.0,0.6000924641701341,0.8483680073971337,0.13340652825782368,994.0,501.0,671.38,158.71759700801925,180.0,24.0,77.38,41.33032300865794,98,50,8,98,50,8,98,50,8
99,99,50,9,1.0,0.6000924641701341,0.8591123439667129,0.13231459042884539,994.0,501.0,691.32,161.8344141398856,180.0,24.0,76.02,41.588214676756685,99,50,9,99,50,9,99,50,9
100,100,50,12,1.0,0.6000924641701341,0.8580138696255201,0.13661888389006044,994.0,501.0,696.76,161.72910189573182,180.0,24.0,75.46,41.72874788440219,100,50,12,100,50,12,100,50,12
