,gen,nevals,new_hof,coverage_avg,coverage_std,coverage_min,coverage_max,altitude_avg,altitude_std,altitude_min,altitude_max,costs_avg,costs_std,costs_min,costs_max
62,62,50,9,0.8389847434119279,0.14740251818574002,0.6014794267221452,1.0,672.14,153.22858871633582,501.0,988.0,77.8,44.33779426178077,24.0,192.0
63,63,50,9,0.8338714748035138,0.14831618180736486,0.6014794267221452,1.0,674.74,153.52560828734732,501.0,988.0,77.38,44.758860575309555,24.0,192.0
64,64,50,9,0.8318945908460472,0.1480195482301947,0.6014794267221452,1.0,665.52,154.0761162542722,501.0,988.0,77.8,45.04486652216876,24.0,192.0
65,65,50,11,0.8227018030513176,0.1463229622804742,0.6014794267221452,1.0,667.56,154.37463004004255,501.0,988.0,75.52,45.11551396138584,24.0,192.0
66,66,50,6,0.8438132223763292,0.14732393191945256,0.6014794267221452,1.0,690.86,169.3175726261158,501.0,988.0,78.1,45.1837360119767,24.0,192.0
67,67,50,6,0.8398206195099401,0.1471306234244128,0.6014794267221452,1.0,680.02,161.99549252988493,501.0,988.0,77.8,45.4880204009803,24.0,192.0
68,68,50,12,0.8411816920943135,0.14805264739284327,0.6014794267221452,1.0,676.44,161.62204800088384,501.0,988.0,79.44,48.176409164652355,24.0,192.0
69,69,50,8,0.8524216366158113,0.14591267510101483,0.6014794267221452,1.0,675.18,160.32301020128085,501.0,988.0,80.74,47.48928721301258,24.0,192.0
70,70,50,11,0.8567933425797505,0.14862454430008276,0.6014794267221452,1.0,659.84,154.8161955352217,501.0,992.0,86.24,49.126595648385816,24.0,192.0
71,71,50,7,0.8521738326398522,0.1462457720002193,0.6014794267221452,1.0,678.02,161.31565206141653,501.0,992.0,81.3,49.31460229992735,24.0,192.0
72,72,50,5,0.8453647711511788,0.1464255672055551,0.6014794267221452,1.0,689.0,158.3676734690511,501.0,992.0,74.1,42.32930427020978,24.0,180.0
73,73,50,7,0.8664262598243181,0.1394818767004765,0.6014794267221452,1.0,689.22,160.34117250413257,501.0,992.0,78.62,43.66916074302322,24.0,180.0
74,74,50,12,0.8520129449838187,0.14201549976162686,0.6014794267221452,1.0,686.08,156.86157464465285,501.0,992.0,76.88,44.211147915429656,24.0,180.0
75,75,50,7,0.8569912159038373,0.14226977807245475,0.6014794267221452,1.0,694.64,160.2417873090537,501.0,992.0,77.18,44.389949312879374,24.0,180.0
76,76,50,7,0.8493407304669442,0.14246774662368508,0.6014794267221452,1.0,696.24,159.04471823987114,501.0,992.0,75.64,44.71856885008732,24.0,180.0
77,77,50,6,0.8473472029588536,0.1398542032870283,0.6014794267221452,1.0,678.48,159.02355045715714,501.0,992.0,76.44,43.23108141141047,24.0,180.0
78,78,50,10,0.8454923717059641,0.14082737029578105,0.6014794267221452,1.0,680.5,157.92723007765318,501.0,992.0,74.04,40.44154299726952,24.0,180.0
79,79,50,10,0.8520221914008321,0.1434849349926849,0.6014794267221452,1.0,680.56,155.72272281205463,501.0,994.0,76.02,41.023159312758935,24.0,180.0
80,80,50,7,0.8432122052704577,0.13862111524174472,0.6014794267221452,1.0,667.5,151.74850905363124,501.0,994.0,75.3,40.36396908134778,24.0,180.0
81,81,50,10,0.8433231622746186,0.1408112960667529,0.6014794267221452,1.0,685.04,161.34818994956217,501.0,994.0,73.72,41.4801350046019,24.0,180.0
82,82,50,7,0.8359445214979195,0.1445912484216917,0.6000924641701341,1.0,670.84,159.38561541117818,501.0,994.0,75.76,42.04833409304107,24.0,180.0
